Date;Time;Code;Object;Area;Status;Comment;CO2abs;dCO2ZP;dCO2MP;H2Oabs;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Ttop;PARtop;PARbot;PARamb;Imp;rh;E;VPD;GH2O;A;ci;ca;wa;Fo;Fm;Fv/Fm;F;Fm';Fo';Fo'calc;Yield;ETR;qP;qL;qN;NPQ;Y(NPQ);ETR-Fac
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;µmol/s;kPa;mV;mV;°C;°C;°C;°C;µmol m-2 s-1;µmol m-2 s-1;µmol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;µmol m-2 s-1;ppm;ppm;ppm;mV;mV;;mV;mV;mV;mV;;;;;;;;
2015-11-11;10:40:51;ZPi005;0000;2.5;AFF1FF612FF---1FF-------------;;999.6653;-0.7634134;;14020.59;-109.8844;;749.57;98.64;384;368;22.99;23.48;22.32;23.06;1999.4;0.7;0.7;7;;;;;;;999.34;14066.4;;;;44;;;;;;;;;;;
2015-11-11;10:44:51;MP_020;0001;2.5;AFF1FF612FF---1FF-------------; CO2 Curve;999.1536;-0.7634134;-11.55602;14009.93;-109.8844;391.6011;749.60;98.64;384;368;22.99;23.56;22.30;23.03;1999.4;0.9;0.8;7;50.99;1.5258;15.26984;99.92246;30.85262;489.0895;988.36;14511.4;;;;44;;;;;;;;;;;
2015-11-11;10:45:51;MP_020;0001;2.5;AFF1FF612FF---1FF-------------;;999.7587;-0.7634134;-11.56513;14016.35;-109.8844;365.1308;749.62;98.63;385;368;22.99;23.56;22.32;23.03;1999.3;0.9;0.8;7;50.93;1.445266;15.30467;94.433;30.95941;460.2189;988.96;14491.4;;;;44;;;;;;;;;;;
2015-11-11;10:46:51;MP_020;0001;2.5;AFF1FF612FF---1FF-------------;;999.4207;-0.7634134;-11.49962;14019;-109.8844;348.881;749.61;98.64;385;369;22.99;23.57;22.34;23.03;1999.0;1.0;0.8;7;50.87;1.395791;15.33237;91.03557;30.81195;443.5576;988.68;14477.8;;;;43;;;;;;;;;;;
2015-11-11;10:47:51;MP_020;0001;2.5;AFF1FF612FF---1FF-------------;;999.904;-0.7634134;-11.51647;14008.93;-109.8844;339.7158;749.60;98.63;384;368;22.99;23.57;22.26;23.03;1999.3;1.0;0.8;7;50.81;1.367858;15.35041;89.10886;30.88895;431.3798;989.15;14458.5;;;;44;;;;;;;;;;;
2015-11-11;10:48:51;MP_020;0001;2.5;AFF1FF612FF---1FF-------------;;998.7686;-0.7634134;-11.50256;14005.09;-109.8844;327.424;749.58;98.63;385;369;22.99;23.57;22.34;23.03;1999.2;0.9;0.7;7;50.75;1.330412;15.37241;86.54544;30.88508;414.5023;988.03;14442.4;;;;43;;;;;;;;;;;
2015-11-11;10:51:56;ZPi005;0000;2.5;AFF1FF612FF---1FF-------------;;799.1027;-0.5731267;;14016.89;-114.0861;;749.53;98.63;386;370;22.98;23.56;22.36;23.02;1999.0;1.1;0.8;7;;;;;;;799.29;14012.7;;;;44;;;;;;;;;;;
2015-11-11;10:55:56;MP_020;0001;2.5;AFF1FF612FF---1FF-------------;;799.7007;-0.5731267;-11.17757;14004.45;-114.0861;356.5234;749.60;98.62;387;370;22.98;23.53;22.37;23.01;1999.2;1.1;0.8;7;50.88;1.431798;15.26991;93.76594;30.66647;266.3223;789.10;14475.1;;;;43;;;;;;;;;;;
2015-11-11;10:56:56;MP_020;0001;2.5;AFF1FF612FF---1FF-------------;;799.9553;-0.5731267;-11.2793;14008.34;-114.0861;368.681;749.61;98.62;387;370;22.99;23.53;22.37;23.00;1999.2;0.9;0.7;7;50.93;1.468836;15.24136;96.3717;30.94259;275.7109;789.25;14491.1;;;;44;;;;;;;;;;;
