Date;Time;Code;Object;Area;Status;Comment;CO2abs;dCO2ZP;dCO2MP;H2Oabs;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Ttop;PARtop;PARbot;PARamb;Imp;rh;E;VPD;GH2O;A;ci;ca;wa;Fo;Fm;Fv/Fm;F;Fm';Fo';Fo'calc;Yield;ETR;qP;qL;qN;NPQ;Y(NPQ);ETR-Fac
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;µmol/s;kPa;mV;mV;°C;°C;°C;°C;µmol m-2 s-1;µmol m-2 s-1;µmol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;µmol m-2 s-1;ppm;ppm;ppm;mV;mV;;mV;mV;mV;mV;;;;;;;;
2015-11-18;10:41:45;ZPc020;0000;2.5;AFF1FF812FF---1FF-------------;;397.9814;0.2595942;0.2632414;14026.77;-855.8913;-858.4623;749.57;97.85;387;371;22.99;23.03;22.26;23.00;0.0;0.2;0.8;7;;;;;;;398.06;14032.2;;;;25;;;;;;;;;;;
2015-11-18;11:14:06;ZPi005;0000;2.5;AFF1FF812FF---1FF-------------;;998.5474;0.1549761;;14031.28;-814.871;;749.61;97.83;401;385;22.99;23.73;22.65;23.07;1999.4;0.9;0.8;7;;;;;;;998.44;14072.3;;;;47;;;;;;;;;;;
2015-11-18;11:18:06;MP_020;0001;2.5;AFF1FF812FF---1FF-------------; CO2 Curve;999.0706;0.1549761;-8.585518;14025.78;-814.871;-261.696;749.63;97.82;402;386;22.98;23.74;22.68;23.05;1999.2;0.9;0.9;7;50.84;1.683251;15.79815;106.5473;24.54165;611.2706;990.33;14579.0;;;;44;;;;;;;;;;;
2015-11-18;11:19:06;MP_020;0001;2.5;AFF1FF812FF---1FF-------------;;999.5096;0.1549761;-8.535632;14035.49;-814.871;-268.4644;749.65;97.82;402;385;22.98;23.75;22.64;23.03;1999.2;0.9;0.8;7;50.84;1.662704;15.80626;105.1927;24.41229;609.062;990.82;14581.9;;;;46;;;;;;;;;;;
2015-11-18;11:20:06;MP_020;0001;2.5;AFF1FF812FF---1FF-------------;;999.0125;0.1549761;-8.588812;14034.13;-814.871;-266.3801;749.49;97.82;402;385;22.99;23.75;22.69;23.02;1999.3;0.9;0.9;7;50.83;1.668694;15.80584;105.5745;24.56116;607.6458;990.27;14582.6;;;;46;;;;;;;;;;;
2015-11-18;11:21:06;MP_020;0001;2.5;AFF1FF812FF---1FF-------------;;999.2516;0.1549761;-8.614792;14037.77;-814.871;-270.0115;749.64;97.82;402;385;22.99;23.73;22.66;23.03;1999.2;0.8;0.9;7;50.83;1.65798;15.77851;105.0784;24.65462;604.8243;990.48;14582.6;;;;46;;;;;;;;;;;
2015-11-18;11:22:06;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;999.0843;0.1549761;-8.56187;14040.74;-814.871;-267.7934;749.57;97.82;402;385;22.99;23.74;22.64;23.02;1999.3;0.9;0.7;7;50.84;1.664579;15.78598;105.4467;24.48708;608.4148;990.37;14587.8;;;;47;;;;;;;;;;;
2015-11-18;11:25:11;ZPi005;0000;2.5;AFF1FF812FF---1FF-------------;;798.8683;0.1813708;;14046.64;-820.1029;;749.35;97.82;402;385;22.98;23.74;22.66;23.02;1999.4;0.9;0.7;7;;;;;;;798.89;14041.4;;;;45;;;;;;;;;;;
2015-11-18;11:29:11;MP_020;0001;2.5;AFF1FF812FF---1FF-------------;;799.3767;0.1813708;-9.132193;14028.44;-820.1029;-214.2768;749.57;97.81;402;385;22.98;23.71;22.58;23.00;1999.2;0.9;0.8;7;51.01;1.843419;15.69605;117.4447;26.46834;423.6292;790.06;14634.3;;;;45;;;;;;;;;;;
