Date;Time;Code;Object;Area;Status;Comment;CO2abs;dCO2ZP;dCO2MP;H2Oabs;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Ttop;PARtop;PARbot;PARamb;Imp;rh;E;VPD;GH2O;A;ci;ca;wa;Fo;Fm;Fv/Fm;F;Fm';Fo';Fo'calc;Yield;ETR;qP;qL;qN;NPQ;Y(NPQ);ETR-Fac
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;µmol/s;kPa;mV;mV;°C;°C;°C;°C;µmol m-2 s-1;µmol m-2 s-1;µmol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;µmol m-2 s-1;ppm;ppm;ppm;mV;mV;;mV;mV;mV;mV;;;;;;;;
2015-11-18;15:15:00;ZPi005;0000;2.5;AFF1FF712FF---1FF-------------;;999.4058;0.2504702;;14045.17;-817.9629;;749.66;97.57;405;388;22.98;23.56;22.78;23.04;1999.4;1.1;0.8;7;;;;;;;999.60;14047.2;;;;47;;;;;;;;;;;
2015-11-18;15:19:00;MP_020;0001;2.5;AFF1FF712FF---1FF-------------; CO2 Curve;999.423;0.2504702;-6.730061;14041.35;-817.9629;-156.0645;749.61;97.57;406;389;22.99;23.55;22.73;23.04;1999.3;1.0;0.8;7;51.11;2.014269;15.40215;130.7784;18.93155;745.7341;992.44;14703.3;;;;47;;;;;;;;;;;
2015-11-18;15:20:00;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;999.5348;0.2504702;-6.837458;14031.21;-817.9629;-157.3147;749.58;97.57;406;389;22.99;23.56;22.72;23.04;1999.3;0.9;0.8;7;51.08;2.010368;15.43209;130.2719;19.25666;740.9837;992.45;14691.9;;;;48;;;;;;;;;;;
2015-11-18;15:21:00;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;999.5045;0.2504702;-6.788056;14038.91;-817.9629;-160.819;749.60;97.57;406;389;22.99;23.56;22.78;23.02;1999.4;0.9;0.9;7;51.07;1.999768;15.43036;129.5996;19.11961;741.4531;992.47;14696.1;;;;48;;;;;;;;;;;
2015-11-18;15:22:00;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;999.9448;0.2504702;-6.804559;14033.81;-817.9629;-169.383;749.58;97.57;405;388;22.99;23.58;22.76;23.03;1999.2;1.1;0.8;7;51.04;1.973625;15.47099;127.5694;19.19361;737.2993;992.89;14682.4;;;;44;;;;;;;;;;;
2015-11-18;15:23:00;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;999.5801;0.2504702;-6.863549;14039.04;-817.9629;-165.8476;749.57;97.57;406;388;22.99;23.58;22.74;23.03;1999.5;0.9;0.8;7;51.06;1.98438;15.46677;128.2995;19.36042;736.207;992.47;14691.2;;;;48;;;;;;;;;;;
2015-11-18;15:26:05;ZPi005;0000;2.5;AFF1FF712FF---1FF-------------;;799.4957;0.2765049;;14031.48;-820.8723;;749.42;97.57;406;389;22.99;23.61;22.75;23.01;1999.4;0.9;0.9;7;;;;;;;799.52;14028.6;;;;47;;;;;;;;;;;
2015-11-18;15:30:05;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;799.7072;0.2765049;-7.16076;14024.69;-820.8723;-159.8296;749.61;97.57;406;389;22.99;23.61;22.79;23.01;1999.1;0.9;0.9;7;51.06;2.01165;15.52203;129.5997;20.70654;527.0505;792.27;14685.7;;;;44;;;;;;;;;;;
2015-11-18;15:31:05;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;799.7464;0.2765049;-7.237108;14044.26;-820.8723;-156.0589;749.62;97.57;406;389;22.99;23.61;22.69;23.01;1999.5;0.9;0.9;7;51.14;2.023197;15.50103;130.5202;20.92667;526.173;792.23;14709.1;;;;48;;;;;;;;;;;
2015-11-18;15:32:05;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;799.5936;0.2765049;-7.264037;14037.69;-820.8723;-148.1064;749.62;97.57;406;389;22.99;23.61;22.72;23.01;1999.2;1.1;0.9;7;51.14;2.047402;15.49577;132.1265;20.98861;528.285;792.05;14710.5;;;;46;;;;;;;;;;;
2015-11-18;15:33:05;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;799.8594;0.2765049;-7.244582;14041.57;-820.8723;-138.2926;749.64;97.57;406;389;22.99;23.60;22.73;23.01;1999.2;0.8;0.8;7;51.18;2.077336;15.47136;134.2698;20.9064;533.4403;792.34;14724.2;;;;47;;;;;;;;;;;
2015-11-18;15:34:05;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;799.032;0.2765049;-7.276497;14027.06;-820.8723;-131.9584;749.56;97.57;407;390;22.99;23.60;22.76;23.01;1999.1;0.9;0.8;7;51.16;2.096366;15.47101;135.5029;20.98634;533.8767;791.48;14716.0;;;;45;;;;;;;;;;;
2015-11-18;15:37:10;ZPi005;0000;2.5;AFF1FF712FF---1FF-------------;;599.783;0.240477;;14038.63;-825.1813;;749.54;97.57;407;389;22.99;23.59;22.81;22.99;1999.2;1.1;0.8;7;;;;;;;599.75;14034.3;;;;44;;;;;;;;;;;
2015-11-18;15:41:12;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;599.4275;0.240477;-6.309299;14032.18;-825.1813;-26.31196;749.67;97.57;406;388;22.99;23.55;22.59;22.98;1999.1;1.0;0.9;7;51.55;2.431601;15.26583;159.2838;18.19891;402.7849;592.88;14831.1;;;;46;;;;;;;;;;;
2015-11-18;15:42:12;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;599.2186;0.240477;-6.422988;14043.42;-825.1813;-15.27126;749.62;97.57;403;385;22.99;23.53;22.72;22.98;1999.4;0.9;0.8;7;51.63;2.465116;15.21407;162.0287;18.51956;402.4424;592.56;14853.3;;;;46;;;;;;;;;;;
2015-11-18;15:43:12;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;599.7705;0.240477;-6.466123;14023.12;-825.1813;5.744964;749.54;97.57;402;384;22.99;23.52;22.78;22.99;1999.3;1.0;0.9;7;51.64;2.528808;15.18727;166.5083;18.60767;406.885;593.06;14854.0;;;;45;;;;;;;;;;;
2015-11-18;15:44:12;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;600.1366;0.240477;-6.52905;14037.13;-825.1813;12.70906;749.56;97.57;405;388;22.99;23.51;22.79;22.98;1999.0;0.9;0.8;7;51.70;2.550118;15.1502;168.3224;18.78342;407.4568;593.37;14875.0;;;;47;;;;;;;;;;;
2015-11-18;15:45:12;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;599.7961;0.240477;-6.511109;14033.41;-825.1813;21.08715;749.62;97.57;407;390;22.99;23.51;22.74;22.99;1999.2;1.0;0.8;7;51.73;2.575858;15.14032;170.1323;18.71698;409.5819;593.04;14879.7;;;;44;;;;;;;;;;;
2015-11-18;15:48:17;ZPi005;0000;2.5;AFF1FF712FF---1FF-------------;;399.7653;0.1998118;;14029.72;-827.5702;;749.59;97.58;410;393;22.99;23.49;22.76;23.00;1999.6;0.9;0.9;7;;;;;;;399.72;14027.3;;;;48;;;;;;;;;;;
2015-11-18;15:52:17;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;399.9644;0.1998118;-5.139808;14041.27;-827.5702;130.1118;749.53;97.58;411;394;22.99;23.41;22.77;23.00;1999.4;0.9;0.9;7;52.13;2.914985;14.84298;196.3881;14.85859;268.9141;394.62;14999.0;;;;47;;;;;;;;;;;
2015-11-18;15:53:17;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;399.7009;0.1998118;-5.185963;14034.89;-827.5702;151.4522;749.56;97.58;411;394;22.99;23.41;22.75;22.99;1999.3;0.9;0.8;7;52.19;2.980084;14.81151;201.2005;14.97274;270.5435;394.32;15013.9;;;;44;;;;;;;;;;;
2015-11-18;15:54:17;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;399.7792;0.1998118;-5.209267;14036.62;-827.5702;163.96;749.54;97.58;411;394;22.99;23.40;22.80;22.99;1999.5;0.9;1.0;7;52.24;3.018143;14.79547;203.9911;15.02712;271.7643;394.37;15028.2;;;;45;;;;;;;;;;;
2015-11-18;15:55:17;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;399.7243;0.1998118;-5.238998;14026.46;-827.5702;180.4874;749.57;97.58;411;393;22.99;23.40;22.79;22.98;1999.3;1.0;0.8;7;52.26;3.068562;14.78208;207.5866;15.09712;273.1362;394.29;15034.5;;;;45;;;;;;;;;;;
2015-11-18;15:56:17;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;399.7887;0.1998118;-5.275027;14034.28;-827.5702;180.6107;749.58;97.58;411;394;23.00;23.40;22.79;22.98;1999.3;1.0;0.8;7;52.27;3.069004;14.77389;207.7316;15.20511;272.4447;394.31;15042.5;;;;44;;;;;;;;;;;
2015-11-18;15:59:22;ZPi005;0000;2.5;AFF1FF712FF---1FF-------------;;299.6589;0.1431932;;14038.13;-833.567;;749.48;97.58;411;394;22.99;23.40;22.76;22.99;1998.8;0.9;0.9;7;;;;;;;299.60;14032.1;;;;44;;;;;;;;;;;
2015-11-18;16:03:22;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;299.7653;0.1431932;-4.458763;14027.7;-833.567;272.7065;749.52;97.58;411;393;22.99;23.36;22.78;22.99;1999.3;1.0;0.8;7;52.61;3.367657;14.61017;230.5009;12.803;202.839;295.16;15134.0;;;;44;;;;;;;;;;;
2015-11-18;16:04:22;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;299.6386;0.1431932;-4.454834;14039.21;-833.567;280.9531;749.56;97.58;411;394;22.99;23.37;22.73;22.98;1999.4;1.1;0.8;7;52.68;3.393024;14.59804;232.4302;12.78495;203.5547;295.04;15153.7;;;;45;;;;;;;;;;;
2015-11-18;16:05:22;MP_020;0001;2.5;AFF1FF712FF---1FF-------------;;299.7391;0.1431932;-4.49526;14022.24;-833.567;298.7449;749.55;97.58;411;394;22.98;23.36;22.76;23.00;1999.3;1.0;0.9;7;52.70;3.447126;14.57771;236.4655;12.88971;204.3857;295.10;15154.6;;;;45;;;;;;;;;;;
